Dates,Emerging Market Stocks,Foreign Developed Stocks,US Stocks - Growth (Large Cap),US Stocks - Growth (Small Cap),US Stocks - Value (Large Cap),US Stocks - Momentum,US Stocks - Size (Large Cap),US Stocks - Size (Small Cap),US Government Bonds - Long Term,US Government Bonds - Short Term,Municipal Bonds,TIPS,US Corporate Bonds - High Yield,US Corporate Bonds - Investment Grade,Emerging Market Bonds - USD,Global Aggregate Bonds ex-US,Gold
01/01/2004,0.000725235,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
02/01/2004,0.017154164,0.00736243,-0.002701947,0.007594066,-0.00054303,-0.005061632,-0.003013256,0.010739245,-0.008028218,-0.000104098,-0.002394793,-0.002163471,-0.000812775,-0.007144325,-0.000471434,-0.000541461,-0.002409233
03/01/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
04/01/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
05/01/2004,0.025089045,0.014740691,0.013352305,0.020096544,0.012478478,0.015061114,0.012391875,0.011698331,-0.000833679,0.000195922,-0.00021716,-0.001378845,0.000959005,0.001092371,0.00637433,-0.000591581,0.012876974
06/01/2004,-0.003698903,0.003746657,-0.000361676,0.001477342,0.001249172,0.004216206,0.001344029,-0.001324659,0.007504639,9.59E-05,0.003316074,0.006412941,0.003568014,0.009008318,0.00654969,0.00326775,0.009027882
07/01/2004,-0.002184157,-0.006441707,0.005696692,0.011804578,0.000713429,0.004298737,0.002618815,0.010606047,0.002246016,-4.10E-06,0.002478883,0.000784391,0.001874914,0.000812196,0.003891528,0.001189783,-0.00625094
08/01/2004,0.005054821,0.009376974,0.002483035,0.008585899,0.005169558,0.009479926,0.004999782,0.007608294,0,9.59E-05,0.000521866,-0.003820054,0.001691444,0.001621286,0.003157314,0.00031052,-0.001785135
09/01/2004,0.012408504,0.005515286,-0.008655023,-0.006425519,-0.004964776,-0.006584288,-0.008888628,-0.00798504,0.011796807,9.59E-05,0.006437674,0.007571181,0.001142819,0.008096877,0.0072402,0.004470727,0.005575117
10/01/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
11/01/2004,-3.01E-06,-1.37E-06,0,0,0,-4.10E-06,-8.20E-07,0,0,-4.10E-06,-1.64E-06,0,-1.34E-05,0,-1.07E-05,-2.19E-06,-6.83E-06
