,US Stocks - Growth (Large Cap),US Stocks - Growth (Small Cap),US Stocks - Value (Large Cap),US Stocks - Momentum,US Stocks - Size (Large Cap),US Stocks - Size (Small Cap),US Government Bonds - Long Term,US Government Bonds - Short Term,Municipal Bonds,TIPS,US Corporate Bonds - High Yield,US Corporate Bonds - Investment Grade,Gold,Foreign Developed Stocks,Global Aggregate Bonds ex-US,Emerging Market Stocks
6.0%,0.3,0.0,0.0,0.0,0.0,0.0,0.14342,0.01,0.14923,0.3,0.0,0.01,0.07733999999999999,0.0,0.01,0.0
7.0%,0.4,0.0,0.0,0.0,0.0,0.0,0.22949,0.01,0.01,0.2955,0.0,0.01,0.035019999999999996,0.0,0.01,0.0
8.0%,0.5,0.0,0.0,0.0,0.0,0.0,0.35338,0.01,0.01,0.07234,0.0,0.01,0.03428,0.0,0.01,0.0
9.0%,0.58304,0.0,0.0,0.0,0.0,0.0,0.35696,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0
10.0%,0.64941,0.0,0.0,0.0,0.0,0.0,0.29059,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0
11.0%,0.71404,0.0,0.0,0.0,0.0,0.0,0.22596,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0
12.0%,0.7774399999999999,0.0,0.0,0.0,0.0,0.0,0.16255999999999998,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0
13.0%,0.8,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.14,0.0,0.01,0.0
14.0%,0.9,0.0,0.0,0.0,0.0,0.0,0.03222,0.01,0.01,0.01,0.0,0.01,0.01778,0.0,0.01,0.0
15.0%,0.93,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0
