,Alpha,Beta,Expected Return(CAPM),Historical Return,Historical Volatility,Sharpe Ratio,MDD
6.0%,0.24224548175794677,0.2574872986140397,5.0583805397416945,7.42108320587298,6.758442895628719,1.098046298604202,-10.562399485062867
7.0%,0.2662775104919878,0.3149685855186989,6.088307293747051,8.755175668917548,7.848248453612287,1.1155579134205202,-11.978788151755015
8.0%,0.3056599269438916,0.3673755932220689,7.027315138519062,10.213709720537501,8.841690426583106,1.1551761289706923,-12.651707871560946
9.0%,0.3216998834053257,0.41528368780027286,7.885713253741353,11.29817669696589,9.839847659413474,1.1482064649809165,-14.055521671306238
10.0%,0.3128761738191211,0.462882748135283,8.738574216751012,12.055084308376141,10.83674750584886,1.112426427013245,-15.671120783125335
11.0%,0.31981570254032793,0.49761855376804137,9.360956516619249,12.78955858395383,11.586170413960616,1.1038641869571681,-16.934652768950187
12.0%,0.3231848623137028,0.5207414007899073,9.775262459631504,13.264105638670642,12.126169672712082,1.0938413362728459,-16.934652768950187
13.0%,0.30537590590119545,0.5312046713165043,9.962739164313014,13.219201509825162,12.560468585344479,1.0524449322893328,-16.934652768950187
14.0%,0.3476643960961917,0.5570520466230747,10.42586211758316,14.272949663768442,13.220697907296797,1.079591241237793,-17.007315417901548
15.0%,0.3396277960944283,0.572061717259972,10.694799404658689,14.445578813240534,13.771293296824455,1.0489631221906779,-17.030482192699857
EW,0.08401223266942451,0.5406230054022717,10.131493114954058,10.449336358499695,8.55368827762571,1.2216176249761779,-12.009937156887208
60/40,0.24338769409468858,0.5157961875919583,9.68665610352685,12.104213057327385,8.121927972099629,1.4903127802792224,-9.442565908843504
