Risk_Capacity,Risk_Tolerance,Risk_Profile
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,2
0,16,2
0,17,2
0,18,2
0,19,3
0,20,3
0,21,3
0,22,3
0,23,3
0,24,3
0,25,4
0,26,4
0,27,4
0,28,4
0,29,4
0,30,4
0,31,4
0,32,5
0,33,5
0,34,5
0,35,5
0,36,6
0,37,6
0,38,6
0,39,6
0,40,6
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,2
1,16,2
1,17,2
1,18,2
1,19,3
1,20,3
1,21,3
1,22,3
1,23,3
1,24,3
1,25,4
1,26,4
1,27,4
1,28,4
1,29,4
1,30,4
1,31,4
1,32,5
1,33,5
1,34,5
1,35,5
1,36,6
1,37,6
1,38,6
1,39,6
1,40,6
2,0,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,2
2,16,2
2,17,2
2,18,2
2,19,3
2,20,3
2,21,3
2,22,3
2,23,3
2,24,3
2,25,4
2,26,4
2,27,4
2,28,4
2,29,4
2,30,4
2,31,4
2,32,5
2,33,5
2,34,5
2,35,5
2,36,6
2,37,6
2,38,6
2,39,6
2,40,6
3,0,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,1
3,14,1
3,15,2
3,16,2
3,17,2
3,18,2
3,19,3
3,20,3
3,21,3
3,22,3
3,23,3
3,24,3
3,25,4
3,26,4
3,27,4
3,28,4
3,29,4
3,30,4
3,31,4
3,32,5
3,33,5
3,34,5
3,35,5
3,36,6
3,37,6
3,38,6
3,39,6
3,40,6
4,0,1
